iter	Passed	Remaining
0	154	153998
1	155	77581
2	156	52030
3	157	39237
4	158	31509
5	159	26357
6	159	22675
7	160	19910
8	161	17785
9	162	16124
10	163	14719
11	164	13542
12	165	12541
13	165	11687
14	167	10969
15	167	10318
16	168	9745
17	169	9236
18	170	8783
19	170	8370
20	171	7997
21	172	7659
22	173	7352
23	173	7068
24	174	6804
25	175	6563
26	176	6343
27	176	6144
28	177	5955
29	178	5775
30	179	5605
31	180	5461
32	181	5318
33	182	5178
34	183	5046
35	183	4921
36	184	4801
37	185	4687
38	185	4579
39	186	4477
40	187	4380
41	187	4287
42	188	4202
43	189	4119
44	190	4041
45	191	3968
46	192	3898
47	192	3827
48	193	3761
49	194	3696
50	195	3634
51	196	3574
52	196	3515
53	197	3459
54	198	3407
55	198	3354
56	199	3304
57	200	3255
58	201	3209
59	201	3164
60	202	3120
61	203	3078
62	204	3037
63	204	2997
64	205	2961
65	206	2926
66	207	2891
67	208	2859
68	209	2825
69	210	2791
70	210	2758
71	211	2726
72	212	2695
73	212	2665
74	213	2635
75	214	2606
76	215	2577
77	215	2549
78	216	2523
79	217	2497
80	217	2472
81	218	2448
82	219	2420
83	219	2397
84	220	2378
85	221	2356
86	222	2335
87	223	2314
88	224	2293
89	224	2272
90	225	2252
91	226	2232
92	226	2213
93	227	2193
94	228	2174
95	229	2156
96	229	2138
97	230	2121
98	231	2104
99	231	2087
100	232	2070
101	233	2054
102	234	2039
103	235	2025
104	236	2013
105	237	1999
106	237	1984
107	238	1970
108	239	1956
109	240	1942
110	240	1929
111	241	1915
112	242	1902
113	243	1889
114	243	1876
115	244	1863
116	245	1849
117	245	1837
118	246	1825
119	247	1813
120	248	1801
121	248	1789
122	249	1781
123	250	1772
124	251	1761
125	252	1750
126	252	1739
127	253	1728
128	254	1718
129	255	1708
130	255	1697
131	256	1687
132	257	1678
133	258	1668
134	258	1658
135	259	1650
136	260	1642
137	261	1634
138	262	1625
139	263	1616
140	265	1615
141	266	1607
142	267	1602
143	268	1594
144	269	1587
145	270	1582
146	271	1574
147	272	1566
148	272	1558
149	273	1550
150	274	1543
151	275	1535
152	276	1528
153	276	1520
154	277	1513
155	278	1508
156	279	1502
157	280	1497
158	281	1490
159	282	1483
160	283	1475
161	283	1468
162	284	1461
163	285	1456
164	286	1449
165	287	1443
166	288	1436
167	288	1430
168	289	1424
169	290	1418
170	291	1413
171	292	1407
172	293	1403
173	294	1399
174	295	1393
175	296	1387
176	297	1382
177	297	1376
178	298	1370
179	299	1364
180	300	1359
181	301	1354
182	302	1349
183	303	1344
184	303	1339
185	304	1334
186	305	1329
187	306	1324
188	307	1319
189	308	1315
190	309	1311
191	310	1307
192	311	1303
193	312	1298
194	313	1293
195	314	1288
196	314	1283
197	315	1279
198	316	1274
199	317	1269
200	318	1265
201	319	1261
202	320	1258
203	321	1253
204	322	1249
205	323	1247
206	324	1243
207	325	1239
208	326	1234
209	327	1230
210	327	1226
211	328	1222
212	329	1218
213	330	1213
214	331	1209
215	332	1205
216	333	1203
217	334	1199
218	335	1195
219	335	1191
220	336	1187
221	338	1184
222	339	1181
223	340	1177
224	340	1174
225	341	1170
226	342	1166
227	343	1162
228	344	1158
229	345	1155
230	345	1151
231	346	1147
232	347	1145
233	348	1142
234	349	1138
235	350	1135
236	351	1132
237	353	1130
238	354	1128
239	355	1126
240	356	1123
241	357	1120
242	358	1117
243	359	1113
244	360	1110
